Trial Number,Freq 1,,Trial Number,Freq 1,,Trial Number,Freq 1
1,0.515,,1,0.543,,1,0.423
2,0.5,,2,0.461,,2,0.459
3,0.5,,3,0.446,,3,0.467
4,0.226,,4,0.403,,4,0.683
5,0.413,,5,0.504,,5,0.484
6,0.495,,6,0.514,,6,0.667
7,0.608,,7,0.546,,7,0.504
8,0.507,,8,0.501,,8,0.49
9,0.468,,9,0.489,,9,0.368
10,0.667,,10,0.466,,10,0.44
11,0.474,,11,0.475,,11,0.875
12,0.22,,12,0.522,,12,0.545
13,0.548,,13,0.464,,13,0.526
14,0.395,,14,0.534,,14,0.429
15,0.536,,15,0.532,,15,0.35
16,0.484,,16,0.537,,16,0.489
17,0.5,,17,0.611,,17,0.615
19,0.423,,19,0.54,,19,0.36
20,0.61,,20,0.298,,20,0.49